Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iceland,85,141,154,160,160,197,232,260,294,254,244,213,207,239,239,293,267,49,49,62,83,58,60,79,99,179,179,321
Israel,,,,,,,,,27,128,4075,4168,4179,4179,574,609,837,1156,9137,17736,25471,41235,48505,48201,39716,32946,32946,25637
Italy,10840,9813,9258,50276,73060,74302,64711,66620,5473,6024,6849,8571,10060,12841,15674,20675,26875,38068,47061,54965,56397,58060,64779,76264,93715,118047,147370,167260
Jamaica,,4,90,63,41,23,25,33,37,37,38,,,,,,,,,26,21,20,20,21,22,12,15,8
Jordan,929737,1001357,1073007,1145025,1216957,1288895,1359580,1438104,1488226,1542417,1610638,1663294,1699470,1741366,1777769,1828842,2358591,2403771,2452016,2434489,2450381,2430589,2337348,2712888,2771502,2808351,2860688,2896162
Japan,6819,6397,6669,6495,5942,5435,5278,4851,4492,4235,3752,3200,2657,2266,1967,1941,1844,1794,2019,2332,2586,2649,2581,2584,2560,2474,2514,2189
Kazakhstan,,,,5000,5030,15561,15577,15577,8338,14795,20574,19531,20610,15831,15844,7265,4412,4285,4352,4340,4406,616,564,584,633,708,653,602
Kenya,14249,120163,402194,301595,252423,234665,223640,232097,238187,223696,206106,239221,233671,237512,239835,251271,272531,265729,320605,358928,402905,566487,564933,534938,551352,553912,451099,431880
Kyrgyz Republic,,,,21242,21239,13407,16707,15276,14560,10849,10609,9296,7708,5591,3753,2598,366,723,375,423,2458,6095,4941,466,482,354,339,334
Cambodia,,,,5,10,15,16,14,21,21,34,50,200,76,382,127,99,179,164,135,129,64,77,68,63,76,66,61
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Korea, Rep.",230,162,149,,,5,6,3,1,7,6,7,17,25,44,69,96,118,172,268,358,401,487,548,1173,1463,1807,2203
Kuwait,,45590,44879,30000,30020,3306,3831,3787,4182,4334,2776,1255,1521,1518,1519,1523,50,38159,38238,221,184,335,674,635,614,741,939,608
Latin America & Caribbean (excluding high income),1175043,878364,868395,112247,95843,82254,76625,71607,61560,57351,33599,32786,36354,33655,31000,32018,34312,508859,328725,345539,351640,355249,357868,358987,329706,314812,299504,243395
Lao PDR,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Lebanon,304599,316095,325707,329705,338700,348031,355076,365160,371294,377612,382744,387733,392053,397054,400905,405248,428602,464299,472607,476053,463436,445144,575483,1303874,1606709,1529223,1476633,1468137
Liberia,,,100048,150153,120163,120080,120061,126886,96317,96317,69315,54760,64956,33997,15172,10168,16185,10466,10224,6952,24743,128293,65909,53253,38595,36505,18990,11109
Libya,,,,1185,1999,3973,7747,8481,10558,10535,11543,11664,11666,11897,12166,12166,2760,4098,6713,9005,7923,10130,7065,25561,27964,9305,9310,9342
