Country Name,Country Code,1990,1995,2000,2005,2010,2015,2017
Aruba,ABW,764887117.194486,1320474860.3352,1873452513.96648,2330726256.98324,2390502793.29609,2691620111.73184,2700558659.21788
Afghanistan,AFG,,,,6209137624.77181,15856574731.4411,19907111418.9938,19543976895.4248
Angola,AGO,11228764963.1618,5538749259.94714,9129594818.60749,36970918699.2523,83799496611.6049,116193649124.475,122123822333.73
Albania,ALB,2028553750,2392764853.42107,3480355258.04122,8052073539.38058,11926957254.6288,11386931489.7968,13038538300.2644
Andorra,AND,1029048481.88051,1178738991.19295,1434429703.33518,3255789080.96008,3355695364.23841,2811489408.89431,3012914131.16971
Arab World,ARB,446901684405.475,523928956600.448,735188056517.166,1185142919458.18,2109932335481.52,2560753811359.54,2586310796347.12
United Arab Emirates,ARE,50701443748.2975,65743666575.8649,104337372362.151,180617018379.85,289787338325.391,358135057862.492,382575085091.899
Argentina,ARG,141352368714.691,258031750000,284203750000,198737095012.282,423627422092.49,594749285413.212,637430331479.469
Armenia,ARM,2256838858.42714,1468317350.06841,1911563665.39006,4900469950.09033,9260284937.79782,10553337672.9872,11536590635.8268
American Samoa,ASM,,,,503000000,576000000,661000000,634000000
Antigua and Barbuda,ATG,459469058.888889,577280726.666667,830158768.888889,1022191294.07407,1152469068.51852,1359194737.40741,1510084750.74074
Australia,AUS,310838014621.008,367216364716.365,415034227218.489,692641708013.833,1144260547872.81,1349034029453.37,1323421072479.07
Austria,AUT,166463386663.439,241038283062.645,196799778883.361,315974418604.651,391892746544.69,382065930307.978,416595666396.636
Azerbaijan,AZE,9063444102.23294,3052467522.36104,5272617196.04517,13245716099.0057,52902703376.1056,53074370486.0433,40747792237.9735
Burundi,BDI,1132101252.51817,1000428393.88528,870486065.883137,1117113045.65222,2032135246.50004,3104394858.11518,3172416146.3921
Belgium,BEL,206430841501.69,289567323481.117,237904919845.218,387365750528.541,483548031197.108,455039563132.776,492681283049.248
Benin,BEN,1959965243.76269,2169627250.93379,2569186642.86999,4803702821.08055,6970240895.49888,8291155880.59505,9246696923.66155
Burkina Faso,BFA,3101301780.95067,2379518099.2266,2628920056.10098,5462709498.45119,8979966766.07232,10419303761.3524,12322864244.9183
